y_true,q0.1,q0.5,q0.9
806.8846,728.13336,772.28906,836.7951
804.05817,742.1742,786.7162,854.1366
817.822,741.5779,785.2147,851.8764
819.7121,750.1886,794.4862,863.20776
817.8535,753.5554,798.8298,868.8518
818.8545,753.84717,799.30743,869.5538
821.19824,756.1648,802.5002,873.8137
820.71814,759.8477,807.2471,879.98914
846.24854,762.9533,811.139,885.05426
798.1788,776.6214,826.38947,903.89667
819.91656,760.791,810.2767,884.91
810.1371,774.38837,825.3248,903.5722
826.6788,772.606,824.3478,902.8122
836.7973,781.4398,834.55945,915.59015
859.1609,789.00415,841.8953,924.337
884.5942,799.8328,853.1749,937.9556
883.92285,812.7925,867.5368,955.7194
875.27997,815.1546,871.02826,960.42145
891.45807,815.90625,872.0434,961.9155
892.46405,824.3948,881.34064,973.3596
878.47015,828.915,886.922,980.56244
859.2126,825.4123,884.07416,977.50867
882.6462,820.3493,879.7493,972.71375
900.98236,829.4347,889.6515,984.7602
920.69684,836.4501,896.67505,993.11426
918.2348,846.1231,907.34106,1006.2838
927.0732,847.9971,908.84955,1008.1352
923.21893,853.67786,915.4115,1016.4018
920.46704,854.4118,918.5404,1021.1777
930.5887,852.0053,915.998,1018.0549
913.90564,855.7952,920.482,1023.7154
915.9344,852.8521,918.2944,1021.6223
920.4519,855.4718,921.7908,1026.2163
936.4987,856.41534,921.21936,1024.9667
929.89453,863.3842,929.4126,1035.2714
920.43036,863.414,931.2021,1038.2454
944.52423,861.3479,929.04736,1035.7123
992.44745,870.15314,937.8857,1046.2217
999.90076,887.7971,958.17316,1071.3944
979.39484,893.2705,965.94324,1081.6902
947.1532,888.9002,961.4705,1076.5376
947.2838,878.9248,952.51373,1066.4497
957.77075,877.03754,950.3168,1063.7007
953.8077,879.3568,953.0422,1067.0511
939.77496,877.73285,952.286,1066.3894
944.92706,873.34406,949.75275,1064.0559
928.8425,874.9232,952.3985,1067.6218
952.01514,870.68146,947.0887,1061.0703
947.86395,878.8221,955.2068,1070.6971
940.122,878.43085,954.2744,1069.4983
958.66266,877.79016,953.6563,1068.8273
976.0454,884.1911,959.073,1074.8676
991.3524,892.0359,967.5686,1085.1251
998.314,900.31213,977.89374,1098.2932
977.6702,904.25305,982.38947,1103.9287
976.2178,901.2609,977.5984,1097.4882
988.16156,904.38104,981.40106,1102.3547
994.14734,908.7813,986.7855,1109.0938
990.88544,909.9478,990.0279,1113.8013
974.6538,912.6454,993.55426,1118.6094
1003.30756,912.57263,993.01935,1117.8253
1023.5162,920.2216,1003.17926,1131.1528
1029.7389,922.5394,1006.2744,1135.3776
1016.4511,923.07294,1005.4542,1134.0211
1017.2738,916.24677,997.10864,1123.398
1030.3209,912.6107,993.4035,1118.9775
1020.1146,909.271,990.2345,1115.3022
1008.08307,902.8814,981.5361,1103.8774
1000.27563,895.033,971.76056,1091.376
983.8506,887.818,962.98413,1080.1185
982.36884,876.7472,950.27637,1064.1456
980.9506,863.9234,936.2991,1046.8127
947.7675,850.2043,921.2788,1028.259
932.83936,827.8448,897.6358,999.35785
908.83575,808.45764,876.3622,973.05865
879.85394,786.87555,853.04254,944.4319
855.39185,761.09314,824.9816,909.9219
830.32166,737.3057,798.18085,876.6275
805.84094,712.65497,770.2285,841.7816
781.0004,689.0307,742.46924,806.9077
751.4743,665.79285,715.147,772.5236
723.70917,636.795,684.0013,737.4826
693.36676,610.8105,656.30304,706.79156
661.60834,582.6418,632.4296,687.77966
628.2027,546.6004,604.5038,666.6622
597.6285,497.98764,567.0189,637.1885
564.8339,454.43054,533.4153,610.58954
531.75964,413.54544,501.8646,585.55444
497.65405,371.79202,469.71545,560.4303
462.87048,328.5191,436.4382,534.6054
427.3034,284.60867,402.62292,508.0795
391.99152,244.88696,371.96213,483.6938
356.89233,210.95348,345.68384,462.44455
321.8899,174.29901,317.2053,439.0826
286.86725,135.12303,286.69162,413.56378
252.94044,99.327545,258.8288,390.36392
809.0497,743.30426,784.9398,851.36035
823.79834,749.4983,790.8985,858.2464
804.5501,755.4218,796.9523,865.4662
796.3396,747.8538,788.8328,855.50525
818.2924,745.90106,787.29297,853.8965
835.5696,756.90137,799.7611,869.3785
841.373,766.36914,810.32983,882.52277
840.7947,772.9994,818.2797,892.6645
857.4607,777.3078,823.60596,899.506
847.085,788.2259,836.3534,915.5565
852.7603,788.29816,837.2233,917.025
861.39215,794.33044,844.53436,926.36206
844.6622,801.4299,852.7488,936.71783
