y_true,q0.1,q0.5,q0.9
806.8846,748.86975,782.38544,820.16187
804.05817,767.62067,802.9797,843.05963
817.822,770.4401,806.27826,846.8552
819.7121,780.07385,817.47925,859.56226
817.8535,783.82294,822.1617,865.04926
818.8545,786.76184,825.3145,868.5824
821.19824,790.17395,829.2456,873.08264
820.71814,793.98956,833.7899,878.3305
846.24854,796.2247,836.3887,881.30945
798.1788,810.82574,852.86346,899.80566
819.91656,788.5946,827.8187,871.7698
810.1371,799.6294,840.05725,885.41656
826.6788,798.4623,839.4717,885.1129
836.7973,807.8625,850.786,898.1258
859.1609,814.5635,857.7035,905.60394
884.5942,828.2314,873.5296,923.50055
883.92285,842.5509,890.7124,943.15497
875.27997,844.6935,894.3763,947.7679
891.45807,841.0922,890.70166,943.7629
892.46405,850.35596,902.0379,956.79193
878.47015,850.84705,903.76654,959.16394
859.2126,844.5579,897.5209,952.49945
882.6462,836.095,888.7769,943.0313
900.98236,848.60626,903.0712,959.1477
920.69684,858.829,913.9847,971.12585
918.2348,868.1023,924.9504,983.59
927.0732,866.59674,923.2629,981.6073
923.21893,872.177,930.50574,990.06226
920.46704,871.98376,931.8501,992.2482
930.5887,873.4232,933.0186,993.388
913.90564,877.4982,937.62494,998.5507
915.9344,867.42377,926.605,986.29254
920.4519,867.0334,926.6588,986.5332
936.4987,870.02167,929.0096,988.69543
929.89453,878.0336,939.0523,1000.3613
920.43036,875.1123,936.7239,998.19183
944.52423,872.2477,933.179,994.12103
992.44745,885.13477,947.37915,1009.9122
999.90076,907.99994,974.3659,1040.6875
979.39484,911.8315,979.4017,1046.6406
947.1532,902.0707,967.9637,1033.5773
947.2838,887.70984,951.37445,1014.8805
957.77075,887.7156,951.2063,1014.61646
953.8077,892.81854,957.0589,1021.2381
939.77496,892.7778,956.72174,1020.83984
944.92706,888.2354,953.1026,1017.4252
928.8425,890.4057,955.9144,1020.7488
952.01514,882.65686,945.57715,1008.5176
947.86395,893.38947,957.2686,1021.46545
940.122,891.5804,954.8628,1018.59125
958.66266,890.2045,953.4735,1017.09015
976.0454,901.7494,966.43036,1031.4922
991.3524,914.9758,982.06226,1049.3104
998.314,925.00854,994.0686,1063.0784
977.6702,930.487,1000.2997,1070.078
976.2178,922.5168,990.46234,1058.6594
988.16156,924.06506,992.0224,1060.3512
994.14734,934.9235,1004.193,1074.003
990.88544,940.4991,1010.62744,1081.3613
974.6538,937.284,1006.3926,1076.3282
1003.30756,930.17773,997.68164,1066.2617
1023.5162,944.1601,1013.8732,1084.5994
1029.7389,952.9928,1024.2151,1096.3091
