y_true,q0.1,q0.5,q0.9
806.8846,735.8752,776.07623,822.2827
804.05817,752.9165,794.07733,843.7543
817.822,758.2302,800.35046,851.4907
819.7121,767.9037,810.97253,864.3151
817.8535,771.24084,815.48,870.02106
818.8545,771.8117,817.438,872.76404
821.19824,772.9955,819.9547,876.1227
820.71814,773.8677,822.1955,879.1624
846.24854,774.5762,823.9901,881.6115
798.1788,784.1034,834.78125,894.67
819.91656,770.3991,821.7414,879.62
810.1371,779.90204,831.36847,890.982
826.6788,775.9377,828.718,888.2867
836.7973,782.28015,836.3953,897.6744
859.1609,793.1183,847.2963,910.5691
884.5942,805.2402,859.7243,925.3601
883.92285,817.46954,872.39343,940.50684
875.27997,819.43256,875.353,944.3491
891.45807,821.10724,877.21216,946.6425
892.46405,827.6625,884.1167,954.9571
878.47015,830.30035,887.04224,958.56213
859.2126,824.39764,881.937,952.80145
882.6462,816.389,875.1066,945.0387
900.98236,823.7488,883.92773,955.7984
920.69684,835.1373,896.21045,970.5541
918.2348,845.6468,907.2552,983.80945
927.0732,850.362,911.32025,988.5446
923.21893,854.8402,915.71674,993.8506
920.46704,852.3259,914.67303,993.0732
930.5887,855.0855,918.9963,998.55237
913.90564,859.75195,924.6375,1005.4139
915.9344,854.92834,919.86536,999.78723
920.4519,853.14996,918.0371,997.6614
936.4987,857.77155,921.5275,1001.53595
929.89453,861.9316,925.4571,1006.2252
920.43036,859.5238,923.5957,1004.2288
944.52423,858.4806,922.811,1003.3839
992.44745,868.1893,932.5613,1014.9383
999.90076,884.08936,949.85583,1035.8075
979.39484,890.10626,957.8318,1045.7795
947.1532,888.32764,956.80334,1044.7552
947.2838,875.9688,945.10474,1031.1412
957.77075,873.92285,942.97,1028.5435
953.8077,874.4435,943.3577,1028.9604
939.77496,871.7009,941.42426,1026.9065
944.92706,867.9712,939.6555,1025.289
928.8425,870.9369,944.1005,1030.8319
952.01514,868.2042,940.58344,1026.4371
947.86395,875.4863,946.8054,1033.5338
940.122,876.48676,946.14496,1032.3557
958.66266,875.4826,943.74365,1029.2108
976.0454,885.3861,951.9895,1038.5396
991.3524,893.6966,959.9327,1047.873
998.314,902.927,969.7179,1059.551
977.6702,909.6324,977.1274,1068.4426
976.2178,908.79987,976.4212,1067.6084
988.16156,909.9096,977.6764,1069.0709
994.14734,916.54,985.45667,1078.4946
990.88544,921.62604,992.5611,1087.2596
974.6538,926.03864,997.9397,1093.6466
1003.30756,922.89404,995.2433,1090.5082
1023.5162,929.80695,1003.08075,1099.8826
1029.7389,936.366,1010.85944,1109.2594
1016.4511,939.1171,1014.5016,1113.7272
1017.2738,934.1599,1010.17426,1108.7179
1030.3209,931.7991,1008.575,1106.9084
1020.1146,932.1025,1009.8942,1108.5903
1008.08307,926.40814,1004.82947,1102.6464
1000.27563,917.0068,995.2352,1091.1895
983.8506,907.12524,984.8808,1078.7764
982.36884,894.9312,972.0967,1063.4471
980.9506,884.9719,961.58954,1050.8024
947.7675,875.7906,951.8599,1039.0651
932.83936,856.072,931.1153,1014.1997
908.83575,840.97375,914.4074,993.85016
879.85394,821.5663,892.59607,967.32574
855.39185,796.7933,864.63806,933.4029
830.32166,771.8173,835.56964,898.0118
805.84094,745.93695,805.15515,860.9692
781.0004,723.5962,777.12585,826.57184
751.4743,704.2948,752.556,796.37305
723.70917,681.7155,726.1449,764.9412
693.36676,652.57404,694.56757,733.2351
661.60834,606.45557,651.43054,691.21545
628.2027,563.22815,618.56305,660.4736
597.6285,522.0189,589.8273,635.6973
564.8339,482.52502,561.94385,610.27747
531.75964,444.284,534.77185,584.8147
497.65405,402.12793,505.07004,557.79175
462.87048,359.8262,475.41678,531.3436
427.3034,315.68826,444.64526,504.42752
391.99152,271.5143,413.97128,477.97226
356.89233,229.08319,384.53653,452.63672
321.8899,190.92978,357.98022,429.42914
286.86725,159.86777,336.23596,409.99362
252.94044,136.97493,320.1317,395.37128
809.0497,757.9989,796.08203,845.4346
823.79834,767.7443,806.9494,858.56445
804.5501,777.01807,817.40063,871.2306
796.3396,773.7036,815.13226,868.8876
